,,,General Data,,,,,,,,,Time to Reach,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Tank11,Tank12,Tank13,Tank14,Tank15,Tank16,Average Time
4,16,4.45,16,0,0,5,,,4.29,3.59,3.43,3.59,3.59,3.76,2.91,3.08,3.26,3.26,2.76,3.43,3.26,2.91,3.08,3.43,3.35
5,16,5.04,16,0,0,2,,,3.84,3.66,3,4.72,4.88,3.16,3,3.16,3.16,3.49,3,3.49,4,3.16,3.32,3.49,3.53
6,16,6.82,16,0,0,0,,,6.3,3.42,4.96,6.64,4.81,3.08,3.08,2.92,5.33,3.42,3.08,3.08,3.42,3.25,2.77,2.77,3.9
7,16,5.35,16,0,0,0,,,2.89,3.74,3.05,3.21,3.21,3.38,3.74,3.38,3.05,2.89,3.21,3.21,3.38,2.89,4.79,5.16,3.45
8,16,7.93,16,0,0,0,,,3.07,3.39,2.75,2.91,2.91,2.91,2.91,2.75,3.39,2.91,3.74,3.07,3.39,7.76,3.39,3.39,3.42
9,16,5.2,16,0,0,0,,,3.43,2.93,3.43,2.93,3.26,5,3.26,2.93,3.26,3.09,3.09,3.26,3.09,3.6,3.26,3.78,3.35
10,16,4.91,16,0,0,0,,,3.08,4.07,3.08,4.4,3.57,2.91,3.57,4.07,3.23,3.39,4.75,3.91,3.91,3.23,2.91,3.74,3.61
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Tank11,Tank12,Tank13,Tank14,Tank15,Tank16,Average Time
1,15,10,0,12,1,12,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
