,,,General Data,,,,,,,,,Time to Reach,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Average Time
3,10,10,4,0,0,10,,,#N/A,#N/A,#N/A,#N/A,5.41,#N/A,5.46,#N/A,5.55,2.73,7.94
4,10,10,7,0,0,3,,,#N/A,#N/A,9.48,#N/A,3.38,3.67,3.09,3.52,3.04,3.43,5.98
5,10,5.71,10,0,0,0,,,2.85,2.97,4.61,3.2,3.32,3.03,4.28,3.14,3.69,5.64,3.67
6,10,4.35,10,0,0,0,,,3.19,3.26,2.94,3.07,3.73,3.39,3.13,3.93,4.07,4.28,3.5
7,10,3.61,10,0,0,0,,,2.99,3.05,3.12,3.12,3.05,3.54,3.12,3.4,3.05,2.86,3.13
8,10,4.73,10,0,0,0,,,2.99,4.65,3.48,3.15,4.21,4.46,3.22,3.22,4.3,3.76,3.74
9,10,4.53,10,0,0,0,,,2.85,3.31,4.46,4.23,3.8,3.94,2.79,3.8,4.01,3.18,3.64
10,10,4.25,10,0,0,0,,,3.78,3.91,4.18,3.05,3.97,2.98,3.78,2.98,3.2,3.4,3.52
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Average Time
1,10,10,1,6,1,6,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.69,#N/A,8.21
2,10,10,3,3,0,8,,,#N/A,#N/A,7.4,#N/A,#N/A,#N/A,#N/A,5.09,#N/A,3.16,7.98
3,10,10,4,0,0,2,,,4.69,2.84,#N/A,#N/A,#N/A,5.07,#N/A,5.55,#N/A,#N/A,7.84
4,10,10,8,0,0,0,,,#N/A,#N/A,3.46,3.72,3.65,3.52,3.78,3.78,3.03,3.22,4.83
5,10,5.12,10,0,0,0,,,5.04,4.83,4.2,2.74,2.68,3.19,3.99,4.97,3.32,3.39,3.84
6,10,4.38,10,0,0,0,,,2.74,2.74,3.2,2.74,4.31,3.97,3.13,3.55,3,3,3.24
7,10,4.47,10,0,0,0,,,2.92,3.52,3.18,3.31,4.12,4.4,2.86,3.18,3.25,3.18,3.39
8,10,4.73,10,0,0,0,,,3.06,3.75,3.69,3.01,3.18,3.24,4.47,3.3,3.43,4.66,3.58
9,10,4.33,10,0,0,0,,,3.18,3.18,3.06,3.12,4.26,3.18,3.49,3.86,2.94,3.18,3.34
10,10,3.97,10,0,0,0,,,3.89,2.99,3.22,3.81,3.14,3.22,2.92,3.74,3.22,3.22,3.34
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Average Time
1,10,9.37,1,9,1,9,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.37,#N/A,#N/A,#N/A,6.37
2,10,10,2,3,0,7,,,#N/A,#N/A,#N/A,#N/A,2.96,#N/A,9.36,#N/A,#N/A,#N/A,8.94
3,10,10,8,0,0,8,,,#N/A,8.06,#N/A,2.96,2.91,5.09,3.02,4.81,3.06,2.7,5.27
4,10,4.5,10,0,0,7,,,2.85,3.69,4.43,3.56,3.82,2.85,3.43,3.36,2.91,3.1,3.4
5,10,7.69,10,0,0,0,,,2.94,2.87,3.07,3.41,2.81,2.87,3.34,7.62,3.47,3.2,3.56
6,10,4.05,10,0,0,0,,,3.84,2.7,2.95,3.15,3.15,3.98,3.7,2.82,3.42,3.15,3.29
7,10,4.25,10,0,0,0,,,3.85,3.29,2.96,4.18,3.43,3.29,2.9,3.43,3.23,3.36,3.39
8,10,4.73,10,0,0,0,,,2.89,3.15,4.24,2.95,4.11,4.04,3.21,4.66,2.95,3.62,3.58
9,10,4.22,10,0,0,0,,,2.79,3.76,3.42,3.08,3.27,3.34,4.15,3.27,3.08,3.42,3.36
10,10,4.3,10,0,0,0,,,3.06,3.6,4.15,3.06,3.46,4.22,3.12,3.12,2.8,3.67,3.43
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Average Time
1,10,10,0,9,1,9,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2,10,10,3,6,0,10,,,#N/A,8.2,#N/A,6.98,5.35,#N/A,#N/A,#N/A,#N/A,#N/A,7.64
3,10,10,8,0,0,3,,,4.83,8.47,8.02,7.68,5.27,7.08,4.6,#N/A,#N/A,9.96,7.6
4,10,4,10,0,0,2,,,3.38,3.18,3.51,3.12,2.99,3.18,3.12,3.93,3.44,3.58,3.34
5,10,7.65,10,0,0,0,,,3.25,3.13,3.31,3.37,3.57,3.31,7.58,2.85,5.25,4.09,3.97
6,10,4.8,10,0,0,0,,,3.38,3.12,3.44,3.5,3.12,3,2.95,3.12,4.73,3.38,3.37
7,10,4.55,10,0,0,0,,,4.44,3.72,3.31,3.09,3.31,3.95,3.09,3.16,2.74,3.16,3.4
8,10,4.47,10,0,0,0,,,3.03,2.91,3.16,3.63,2.97,3.09,3.23,4.4,3.63,2.91,3.3
9,10,4.31,10,0,0,0,,,4.24,2.91,3.04,2.91,3.17,3.31,3.24,3.04,3.04,3.31,3.22
10,10,3.5,10,0,0,0,,,3.37,3.3,3.3,3.3,3.24,3.37,3.43,3.12,3.37,2.87,3.27
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Average Time
1,10,10,1,6,1,6,,,#N/A,#N/A,#N/A,4.27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.6
2,10,10,1,5,0,8,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.46,#N/A,#N/A,#N/A,9.53
3,10,10,2,0,0,6,,,#N/A,3.87,#N/A,#N/A,#N/A,#N/A,4.66,#N/A,#N/A,#N/A,8.89
4,10,10,5,0,0,7,,,#N/A,#N/A,#N/A,#N/A,#N/A,8.64,3.56,3.09,3.04,3.19,7.18
5,10,10,8,0,0,0,,,#N/A,#N/A,6.14,5.3,4.19,3.5,3.83,2.85,2.96,3.25,5.21
6,10,3.68,10,0,0,0,,,3.27,2.87,3.13,3.54,3.61,3.2,3.48,3.34,3.27,3,3.27
7,10,3.72,10,0,0,0,,,3.65,2.79,3.17,3.51,3.65,2.85,3.65,3.17,3.17,3.23,3.28
8,10,4.16,10,0,0,0,,,3.4,4.09,3.13,3.13,3.81,3.01,3.07,3.6,3.4,3.53,3.42
9,10,3.34,10,0,0,0,,,2.93,2.99,3.27,3.13,3.06,3.13,3.27,2.99,3.06,2.8,3.06
10,10,3.94,10,0,0,0,,,3.24,3.66,3.3,3.3,2.97,2.97,3.37,3.66,3.87,3.59,3.39
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Average Time
