,,,General Data,,,,,,,,,Time to Reach,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Average Time
4,6,10,5,0,0,0,,,#N/A,3.34,3.02,3.79,3.49,5.43,4.85
5,6,4.6,6,0,0,0,,,3.63,4.23,3.04,4.57,2.92,3.09,3.58
6,6,4.53,6,0,0,0,,,4.21,3.15,3.17,3.7,4.49,2.94,3.61
7,6,4.7,6,0,0,0,,,3.33,4.56,2.83,4.36,3.12,4.67,3.81
8,6,5.29,6,0,0,0,,,2.82,3.99,4.57,3.77,5.26,3.12,3.92
9,6,4.31,6,0,0,0,,,3.29,3.05,3.54,4.28,2.99,3.6,3.46
10,6,4.09,6,0,0,0,,,3.03,3.03,4.06,3.22,3.13,3.03,3.25
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Average Time
1,5,5.69,1,4,1,4,,,#N/A,#N/A,#N/A,#N/A,5.68,#N/A,5.68
2,6,10,2,1,0,1,,,#N/A,#N/A,#N/A,#N/A,2.89,3.22,7.25
3,6,10,3,0,0,0,,,#N/A,6.89,#N/A,#N/A,2.69,2.96,7.12
4,6,5.11,6,0,0,0,,,3.16,4.42,2.84,2.78,3.51,5.07,3.63
5,6,5.17,6,0,0,0,,,3.19,4.41,4.34,5.13,3.16,2.77,3.83
6,6,3.88,6,0,0,0,,,3.85,3.23,3.07,3.23,3.1,3.42,3.32
7,6,3.77,6,0,0,0,,,3.74,3.21,3.12,3.74,2.84,3.6,3.38
8,6,4.79,6,0,0,0,,,3.16,4.15,4.76,3.04,4.52,3.79,3.9
9,6,4.78,6,0,0,0,,,4.74,3.04,2.89,4.34,4.34,2.74,3.68
10,6,3.78,6,0,0,0,,,3.13,2.84,3.48,3.19,3.64,3.74,3.34
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Average Time
1,5,9.36,1,4,1,4,,,#N/A,#N/A,9.35,#N/A,#N/A,#N/A,9.35
2,6,10,1,1,0,3,,,#N/A,#N/A,9.47,#N/A,#N/A,#N/A,9.93
3,6,10,2,0,0,1,,,#N/A,4.39,#N/A,#N/A,#N/A,3.92,8.08
4,6,10,3,0,0,0,,,4.44,#N/A,#N/A,#N/A,2.96,3.17,6.79
5,6,10,5,0,0,0,,,#N/A,3.22,3.78,3.1,3.28,3.59,4.5
6,6,4.1,6,0,0,0,,,2.95,2.78,3.87,3.35,2.75,4.06,3.29
7,6,4.15,6,0,0,0,,,3.95,3.3,4.12,3.46,2.83,3.08,3.46
8,6,4.05,6,0,0,0,,,3.15,2.97,3.65,3.24,3.05,4.01,3.34
9,6,5.37,6,0,0,0,,,5.34,4.03,3.56,3.26,3.21,3.71,3.85
10,6,3.87,6,0,0,0,,,3.84,3.23,3.2,3.81,2.8,3.39,3.38
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Average Time
1,5,9.63,1,4,1,4,,,#N/A,#N/A,#N/A,5.44,#N/A,#N/A,5.44
2,6,10,2,2,1,3,,,#N/A,3.82,#N/A,#N/A,3.04,#N/A,6.74
3,6,10,1,3,1,6,,,#N/A,#N/A,#N/A,#N/A,6.36,#N/A,8.82
4,6,10,1,3,1,6,,,8.87,#N/A,#N/A,#N/A,#N/A,#N/A,9.66
5,6,10,4,0,0,0,,,8.4,#N/A,#N/A,7.85,3.07,3.04,7.08
